Title,Year,Mileage,Power,Price,Location,Image_URL
Volkswagen transporter 2.0 tdi 2012,2012,"250,000 km",75 kW (101 Hp),"10.200
 €",Кавадарци,//reklama5.mk/photos/big/32589a27-1215-4d4d-b73f-6c72ffc716da.jpg
Volkswagen crafter 2.5 tdi KRAN KLIMA,2010,"250,000 km",103 kW (138 Hp),"16.200
 €",Кавадарци,//reklama5.mk/photos/big/fee548c6-8d7e-4f87-8f75-f32b9a4f174a.jpg
Bmw 118d 143 ps 2008 sega uvezana GER,2008,"200,000 km",105 kW (141 Hp),"5.200
 €",Куманово,//reklama5.mk/photos/big/71ac9540-091a-4dd4-8540-f4740664d5bc.jpg
Passat B8 2016 2.0 TDI,2016,"200,000 km",110 kW (148 Hp),"14.900
 €",Аеродром / Скопје,//reklama5.mk/photos/big/b18cbd1d-624c-4f98-8c2b-3b2073a2029a.jpg
Golf VII 1.6 TDI DSG Comfortline,2013,"200,000 km",77 kW (103 Hp),По Договор,Скопје Центар / Скопје,//reklama5.mk/photos/big/d295c349-9942-479b-91ec-c52bb3b8b1bd.jpg
AUDI A3 2.0TDI 2013G,2013,"200,000 km",110 kW (148 Hp),"11.500
 €",Аеродром / Скопје,//reklama5.mk/photos/big/b0fef97d-cd48-4a18-9cd1-988975ec02a6.jpg
TOYOTA AYGO BENZIN 2014 UVOZ SVAJCARIJA,2014,"150,000 km",60 kW (80 Hp),"6.500
 €",Куманово,//reklama5.mk/photos/big/08b1e46c-d79c-4d40-8676-5a2974c9bf5a.jpg
VOLKSWAGEN T-CROSS 1.6 TDI DSG 95 KS.2020 GOD.,2020,"120,000 km",127 kW (170 Hp),"21.900
 €",Куманово,//reklama5.mk/photos/big/9f11897e-d84c-41c4-9f4c-cb6e08fd7f22.jpg
Fiat talento 1.6 multijet 116 ks 2016 god,2016,"190,000 km",85 kW (114 Hp),"9.900
 €",Кавадарци,//reklama5.mk/photos/big/d0f99f80-d625-437f-bc30-f3a40883c7e4.jpg
Volkswagen transporter 2.0 tdi 5 sedista,2010,"250,000 km",64 kW (86 Hp),"10.500
 €",Кавадарци,//reklama5.mk/photos/big/c9fcf09b-4757-44b4-95bb-375329bff93a.jpg
OPEL ZAFIRA TOURIER 2.0 TDCI CH UVOZ CH REG MK 7 SEDISHT,2011,"200,000 km",121 kW (162 Hp),"6.900
 €",Куманово,//reklama5.mk/photos/big/faac64ac-fbb0-4f37-afb6-85d7c5c65a70.jpg
